"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Get OTP code from email","tests","Fri Mar 21 01:44:01 GMT 2025","skipped","Fri Mar 21 01:44:01 GMT 2025","TestEmail","email_test","",""
"Forgot Password with invalid email address","0","Forgot Password with invalid email test","Custom parent suite","Fri Mar 21 01:44:21 GMT 2025","skipped","Fri Mar 21 01:44:21 GMT 2025","Custom sub suite","Custom suite","",""
"","0","test_d","tests","Fri Mar 21 01:44:01 GMT 2025","skipped","Fri Mar 21 01:44:01 GMT 2025","TestDependencyExample","dependency_test","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Fri Mar 21 01:45:17 GMT 2025","broken","Fri Mar 21 01:45:17 GMT 2025","TestWorkspaces","workspaces_test","",""
"","0","Visual test of login page with ignored area","tests","Fri Mar 21 01:45:20 GMT 2025","skipped","Fri Mar 21 01:45:20 GMT 2025","TestVisual","visual_test","",""
"","0","Visual test of login page","tests","Fri Mar 21 01:45:20 GMT 2025","skipped","Fri Mar 21 01:45:20 GMT 2025","TestVisual","visual_test","",""
"","0","test_a","tests","Fri Mar 21 01:46:42 GMT 2025","skipped","Fri Mar 21 01:46:42 GMT 2025","TestDependencyExample","dependency_test","",""
"","0","test_b","tests","Fri Mar 21 01:46:42 GMT 2025","skipped","Fri Mar 21 01:46:42 GMT 2025","TestDependencyExample","dependency_test","",""
"Log out from app","10209","Logout of system test","tests","Fri Mar 21 01:45:08 GMT 2025","broken","Fri Mar 21 01:45:19 GMT 2025","TestLogin","login_test","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Fri Mar 21 01:46:28 GMT 2025","broken","Fri Mar 21 01:46:28 GMT 2025","TestWorkspaces","workspaces_test","",""
"Exception catching","10012","Exception test","Custom parent suite","Fri Mar 21 01:44:24 GMT 2025","broken","Fri Mar 21 01:44:34 GMT 2025","Custom sub suite","Custom suite","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Fri Mar 21 01:46:14 GMT 2025","broken","Fri Mar 21 01:46:14 GMT 2025","TestWorkspaces","workspaces_test","",""
"Search for an existing project","0","Search for existing project test","tests","Fri Mar 21 01:45:45 GMT 2025","broken","Fri Mar 21 01:45:45 GMT 2025","TestWorkspaces","workspaces_test","",""
"valid login","10490","Login with valid credentials test","tests","Fri Mar 21 01:44:55 GMT 2025","broken","Fri Mar 21 01:45:05 GMT 2025","TestLogin","login_test","",""
"Skip Test example","0","Skipped test example","tests","Fri Mar 21 01:45:20 GMT 2025","skipped","Fri Mar 21 01:45:20 GMT 2025","TestLogin","login_test","",""
"invalid login","10086","Login with invalid credentials test","tests","Fri Mar 21 01:44:51 GMT 2025","broken","Fri Mar 21 01:45:01 GMT 2025","TestLogin","login_test","",""
"Create new Workspace","0","Create new workspace test","tests","Fri Mar 21 01:44:00 GMT 2025","broken","Fri Mar 21 01:44:00 GMT 2025","TestWorkspaces","workspaces_test","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Fri Mar 21 01:44:21 GMT 2025","broken","Fri Mar 21 01:44:21 GMT 2025","TestWorkspaces","workspaces_test","",""
"","0","Visual test of login page element","tests","Fri Mar 21 01:45:20 GMT 2025","skipped","Fri Mar 21 01:45:20 GMT 2025","TestVisual","visual_test","",""
"","0","Verify population amounts","tests","Fri Mar 21 01:46:42 GMT 2025","skipped","Fri Mar 21 01:46:42 GMT 2025","TestDatabaseExample","db_test","",""
"invalid login","10073","Login with invalid credentials test","tests","Fri Mar 21 01:44:37 GMT 2025","broken","Fri Mar 21 01:44:47 GMT 2025","TestLogin","login_test","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Fri Mar 21 01:45:03 GMT 2025","broken","Fri Mar 21 01:45:03 GMT 2025","TestWorkspaces","workspaces_test","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Fri Mar 21 01:45:31 GMT 2025","broken","Fri Mar 21 01:45:31 GMT 2025","TestWorkspaces","workspaces_test","",""
"","0","test_c","tests","Fri Mar 21 01:44:01 GMT 2025","skipped","Fri Mar 21 01:44:01 GMT 2025","TestDependencyExample","dependency_test","",""
"
        Placeholder test function with the dependency name ""e"" and depends on ""TestDependencyExample::b"".

        This test case is designed for demonstration purposes only.
        ","0","test_e","tests","Fri Mar 21 01:46:42 GMT 2025","skipped","Fri Mar 21 01:46:42 GMT 2025","TestDependencyExample","dependency_class_test","",""
"Search for a non existing project","0","Search for non existing project","tests","Fri Mar 21 01:45:59 GMT 2025","broken","Fri Mar 21 01:45:59 GMT 2025","TestWorkspaces","workspaces_test","",""
"Forgot password with a valid email address","10423","Forgot Password with valid email test","Custom parent suite","Fri Mar 21 01:44:08 GMT 2025","broken","Fri Mar 21 01:44:19 GMT 2025","Custom sub suite","Custom suite","",""
"","0","Verify email count in user inbox","tests","Fri Mar 21 01:44:01 GMT 2025","skipped","Fri Mar 21 01:44:01 GMT 2025","TestEmail","email_test","",""
"","0","Verify email content","tests","Fri Mar 21 01:44:01 GMT 2025","skipped","Fri Mar 21 01:44:01 GMT 2025","TestEmail","email_test","",""
