"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Visual test of login page","tests","Thu Feb 06 01:38:24 GMT 2025","skipped","Thu Feb 06 01:38:24 GMT 2025","TestVisual","visual_test","",""
"Skip Test example","0","Skipped test example","tests","Thu Feb 06 01:38:24 GMT 2025","skipped","Thu Feb 06 01:38:24 GMT 2025","TestLogin","login_test","",""
"","0","test_c","tests","Thu Feb 06 01:36:54 GMT 2025","skipped","Thu Feb 06 01:36:54 GMT 2025","TestDependencyExample","dependency_test","",""
"invalid login","10151","Login with invalid credentials test","tests","Thu Feb 06 01:37:34 GMT 2025","broken","Thu Feb 06 01:37:45 GMT 2025","TestLogin","login_test","",""
"","0","Verify email content","tests","Thu Feb 06 01:36:54 GMT 2025","skipped","Thu Feb 06 01:36:54 GMT 2025","TestEmail","email_test","",""
"","0","Verify population amounts","tests","Thu Feb 06 01:39:59 GMT 2025","skipped","Thu Feb 06 01:39:59 GMT 2025","TestDatabaseExample","db_test","",""
"
        Placeholder test function with the dependency name ""e"" and depends on ""TestDependencyExample::b"".

        This test case is designed for demonstration purposes only.
        ","0","test_e","tests","Thu Feb 06 01:39:59 GMT 2025","skipped","Thu Feb 06 01:39:59 GMT 2025","TestDependencyExample","dependency_class_test","",""
"Create new Workspace","0","Create new workspace test","tests","Thu Feb 06 01:36:57 GMT 2025","broken","Thu Feb 06 01:36:57 GMT 2025","TestWorkspaces","workspaces_test","",""
"Log out from app","10203","Logout of system test","tests","Thu Feb 06 01:38:10 GMT 2025","broken","Thu Feb 06 01:38:20 GMT 2025","TestLogin","login_test","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Thu Feb 06 01:38:21 GMT 2025","broken","Thu Feb 06 01:38:21 GMT 2025","TestWorkspaces","workspaces_test","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Thu Feb 06 01:38:05 GMT 2025","broken","Thu Feb 06 01:38:05 GMT 2025","TestWorkspaces","workspaces_test","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Thu Feb 06 01:39:42 GMT 2025","broken","Thu Feb 06 01:39:42 GMT 2025","TestWorkspaces","workspaces_test","",""
"Search for a non existing project","0","Search for non existing project","tests","Thu Feb 06 01:39:11 GMT 2025","broken","Thu Feb 06 01:39:11 GMT 2025","TestWorkspaces","workspaces_test","",""
"invalid login","10083","Login with invalid credentials test","tests","Thu Feb 06 01:37:52 GMT 2025","broken","Thu Feb 06 01:38:02 GMT 2025","TestLogin","login_test","",""
"","0","test_a","tests","Thu Feb 06 01:39:59 GMT 2025","skipped","Thu Feb 06 01:39:59 GMT 2025","TestDependencyExample","dependency_test","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Thu Feb 06 01:39:26 GMT 2025","broken","Thu Feb 06 01:39:26 GMT 2025","TestWorkspaces","workspaces_test","",""
"","0","Visual test of login page element","tests","Thu Feb 06 01:38:24 GMT 2025","skipped","Thu Feb 06 01:38:24 GMT 2025","TestVisual","visual_test","",""
"Forgot Password with invalid email address","0","Forgot Password with invalid email test","Custom parent suite","Thu Feb 06 01:37:19 GMT 2025","skipped","Thu Feb 06 01:37:19 GMT 2025","Custom sub suite","Custom suite","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Thu Feb 06 01:37:16 GMT 2025","broken","Thu Feb 06 01:37:16 GMT 2025","TestWorkspaces","workspaces_test","",""
"","0","Verify email count in user inbox","tests","Thu Feb 06 01:36:54 GMT 2025","skipped","Thu Feb 06 01:36:54 GMT 2025","TestEmail","email_test","",""
"Exception catching","10076","Exception test","Custom parent suite","Thu Feb 06 01:37:21 GMT 2025","broken","Thu Feb 06 01:37:32 GMT 2025","Custom sub suite","Custom suite","",""
"","0","test_b","tests","Thu Feb 06 01:36:54 GMT 2025","skipped","Thu Feb 06 01:36:54 GMT 2025","TestDependencyExample","dependency_test","",""
"valid login","10078","Login with valid credentials test","tests","Thu Feb 06 01:37:54 GMT 2025","broken","Thu Feb 06 01:38:04 GMT 2025","TestLogin","login_test","",""
"","0","Visual test of login page with ignored area","tests","Thu Feb 06 01:38:24 GMT 2025","skipped","Thu Feb 06 01:38:24 GMT 2025","TestVisual","visual_test","",""
"","0","test_d","tests","Thu Feb 06 01:36:54 GMT 2025","skipped","Thu Feb 06 01:36:54 GMT 2025","TestDependencyExample","dependency_test","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Thu Feb 06 01:38:38 GMT 2025","broken","Thu Feb 06 01:38:38 GMT 2025","TestWorkspaces","workspaces_test","",""
"Forgot password with a valid email address","10010","Forgot Password with valid email test","Custom parent suite","Thu Feb 06 01:37:06 GMT 2025","broken","Thu Feb 06 01:37:16 GMT 2025","Custom sub suite","Custom suite","",""
"Search for an existing project","0","Search for existing project test","tests","Thu Feb 06 01:38:54 GMT 2025","broken","Thu Feb 06 01:38:54 GMT 2025","TestWorkspaces","workspaces_test","",""
