"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete an existing workspace","0","Delete existing workspace","tests","Fri Jan 17 01:28:04 GMT 2025","broken","Fri Jan 17 01:28:04 GMT 2025","TestWorkspaces","workspaces_test","",""
"Create new Workspace","0","Create new workspace test","tests","Fri Jan 17 01:26:49 GMT 2025","broken","Fri Jan 17 01:26:49 GMT 2025","TestWorkspaces","workspaces_test","",""
"
        Placeholder test function with the dependency name ""e"" and depends on ""TestDependencyExample::b"".

        This test case is designed for demonstration purposes only.
        ","0","test_e","tests","Fri Jan 17 01:29:56 GMT 2025","skipped","Fri Jan 17 01:29:56 GMT 2025","TestDependencyExample","dependency_class_test","",""
"","0","Verify population amounts","tests","Fri Jan 17 01:29:56 GMT 2025","skipped","Fri Jan 17 01:29:56 GMT 2025","TestDatabaseExample","db_test","",""
"Search for an existing project","0","Search for existing project test","tests","Fri Jan 17 01:28:52 GMT 2025","broken","Fri Jan 17 01:28:52 GMT 2025","TestWorkspaces","workspaces_test","",""
"","0","test_a","tests","Fri Jan 17 01:29:56 GMT 2025","skipped","Fri Jan 17 01:29:56 GMT 2025","TestDependencyExample","dependency_test","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Fri Jan 17 01:27:17 GMT 2025","broken","Fri Jan 17 01:27:17 GMT 2025","TestWorkspaces","workspaces_test","",""
"invalid login","10177","Login with invalid credentials test","tests","Fri Jan 17 01:27:35 GMT 2025","broken","Fri Jan 17 01:27:46 GMT 2025","TestLogin","login_test","",""
"Skip Test example","0","Skipped test example","tests","Fri Jan 17 01:28:27 GMT 2025","skipped","Fri Jan 17 01:28:27 GMT 2025","TestLogin","login_test","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Fri Jan 17 01:28:36 GMT 2025","broken","Fri Jan 17 01:28:36 GMT 2025","TestWorkspaces","workspaces_test","",""
"Forgot password with a valid email address","10198","Forgot Password with valid email test","Custom parent suite","Fri Jan 17 01:27:09 GMT 2025","broken","Fri Jan 17 01:27:19 GMT 2025","Custom sub suite","Custom suite","",""
"","0","test_c","tests","Fri Jan 17 01:26:49 GMT 2025","skipped","Fri Jan 17 01:26:49 GMT 2025","TestDependencyExample","dependency_test","",""
"","0","Visual test of login page with ignored area","tests","Fri Jan 17 01:28:27 GMT 2025","skipped","Fri Jan 17 01:28:27 GMT 2025","TestVisual","visual_test","",""
"","0","Verify email count in user inbox","tests","Fri Jan 17 01:26:49 GMT 2025","skipped","Fri Jan 17 01:26:49 GMT 2025","TestEmail","email_test","",""
"Search for a non existing project","0","Search for non existing project","tests","Fri Jan 17 01:29:09 GMT 2025","broken","Fri Jan 17 01:29:09 GMT 2025","TestWorkspaces","workspaces_test","",""
"Exception catching","10242","Exception test","Custom parent suite","Fri Jan 17 01:27:24 GMT 2025","broken","Fri Jan 17 01:27:34 GMT 2025","Custom sub suite","Custom suite","",""
"Forgot Password with invalid email address","0","Forgot Password with invalid email test","Custom parent suite","Fri Jan 17 01:27:22 GMT 2025","skipped","Fri Jan 17 01:27:22 GMT 2025","Custom sub suite","Custom suite","",""
"invalid login","10239","Login with invalid credentials test","tests","Fri Jan 17 01:27:51 GMT 2025","broken","Fri Jan 17 01:28:01 GMT 2025","TestLogin","login_test","",""
"Log out from app","10262","Logout of system test","tests","Fri Jan 17 01:28:13 GMT 2025","broken","Fri Jan 17 01:28:23 GMT 2025","TestLogin","login_test","",""
"","0","Verify email content","tests","Fri Jan 17 01:26:49 GMT 2025","skipped","Fri Jan 17 01:26:49 GMT 2025","TestEmail","email_test","",""
"","0","Visual test of login page element","tests","Fri Jan 17 01:28:27 GMT 2025","skipped","Fri Jan 17 01:28:27 GMT 2025","TestVisual","visual_test","",""
"valid login","10288","Login with valid credentials test","tests","Fri Jan 17 01:27:56 GMT 2025","broken","Fri Jan 17 01:28:07 GMT 2025","TestLogin","login_test","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Fri Jan 17 01:29:40 GMT 2025","broken","Fri Jan 17 01:29:40 GMT 2025","TestWorkspaces","workspaces_test","",""
"","0","Visual test of login page","tests","Fri Jan 17 01:28:27 GMT 2025","skipped","Fri Jan 17 01:28:27 GMT 2025","TestVisual","visual_test","",""
"","0","test_b","tests","Fri Jan 17 01:26:49 GMT 2025","skipped","Fri Jan 17 01:26:49 GMT 2025","TestDependencyExample","dependency_test","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Fri Jan 17 01:29:25 GMT 2025","broken","Fri Jan 17 01:29:25 GMT 2025","TestWorkspaces","workspaces_test","",""
"","0","test_d","tests","Fri Jan 17 01:26:49 GMT 2025","skipped","Fri Jan 17 01:26:49 GMT 2025","TestDependencyExample","dependency_test","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Fri Jan 17 01:28:21 GMT 2025","broken","Fri Jan 17 01:28:21 GMT 2025","TestWorkspaces","workspaces_test","",""
