"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Sep 07 01:24:55 GMT 2024","Sat Sep 07 01:24:55 GMT 2024","0","tests","workspaces_test","TestWorkspaces","","","Number of projects displayed in page test","Compare between the actual number of projects seen on page and the number shown in workspaces block"
"skipped","Sat Sep 07 01:26:27 GMT 2024","Sat Sep 07 01:26:27 GMT 2024","0","tests","dependency_class_test","TestDependencyExample","","","test_e","
        Placeholder test function with the dependency name ""e"" and depends on ""TestDependencyExample::b"".

        This test case is designed for demonstration purposes only.
        "
"skipped","Sat Sep 07 01:23:36 GMT 2024","Sat Sep 07 01:23:36 GMT 2024","0","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with invalid email test","Forgot Password with invalid email address"
"broken","Sat Sep 07 01:26:12 GMT 2024","Sat Sep 07 01:26:12 GMT 2024","0","tests","workspaces_test","TestWorkspaces","","","Delete existing project","Deleting an existing project from workspace"
"skipped","Sat Sep 07 01:24:37 GMT 2024","Sat Sep 07 01:24:37 GMT 2024","0","tests","visual_test","TestVisual","","","Visual test of login page element",""
"skipped","Sat Sep 07 01:26:27 GMT 2024","Sat Sep 07 01:26:27 GMT 2024","0","tests","dependency_test","TestDependencyExample","","","test_a",""
"broken","Sat Sep 07 01:23:26 GMT 2024","Sat Sep 07 01:23:26 GMT 2024","0","tests","workspaces_test","TestWorkspaces","","","Create new workspace test","Create new Workspace"
"broken","Sat Sep 07 01:24:40 GMT 2024","Sat Sep 07 01:24:40 GMT 2024","0","tests","workspaces_test","TestWorkspaces","","","Delete existing workspace","Delete an existing workspace"
"broken","Sat Sep 07 01:25:26 GMT 2024","Sat Sep 07 01:25:26 GMT 2024","0","tests","workspaces_test","TestWorkspaces","","","Search for existing project test","Search for an existing project"
"broken","Sat Sep 07 01:25:56 GMT 2024","Sat Sep 07 01:25:56 GMT 2024","0","tests","workspaces_test","TestWorkspaces","","","Cancel a project deletion","Cancel project deletion"
"skipped","Sat Sep 07 01:24:37 GMT 2024","Sat Sep 07 01:24:37 GMT 2024","0","tests","visual_test","TestVisual","","","Visual test of login page",""
"skipped","Sat Sep 07 01:26:27 GMT 2024","Sat Sep 07 01:26:27 GMT 2024","0","tests","db_test","TestDatabaseExample","","","Verify population amounts",""
"broken","Sat Sep 07 01:23:54 GMT 2024","Sat Sep 07 01:23:54 GMT 2024","0","tests","workspaces_test","TestWorkspaces","","","Rename an existing workspace test","Rename an existing workspace"
"skipped","Sat Sep 07 01:23:21 GMT 2024","Sat Sep 07 01:23:21 GMT 2024","0","tests","email_test","TestEmail","","","Verify email count in user inbox",""
"skipped","Sat Sep 07 01:23:21 GMT 2024","Sat Sep 07 01:23:21 GMT 2024","0","tests","dependency_test","TestDependencyExample","","","test_b",""
"broken","Sat Sep 07 01:25:41 GMT 2024","Sat Sep 07 01:25:41 GMT 2024","0","tests","workspaces_test","TestWorkspaces","","","Search for non existing project","Search for a non existing project"
"broken","Sat Sep 07 01:24:09 GMT 2024","Sat Sep 07 01:24:19 GMT 2024","10343","tests","login_test","TestLogin","","","Login with valid credentials test","valid login"
"broken","Sat Sep 07 01:24:24 GMT 2024","Sat Sep 07 01:24:35 GMT 2024","10328","tests","login_test","TestLogin","","","Logout of system test","Log out from app"
"broken","Sat Sep 07 01:24:11 GMT 2024","Sat Sep 07 01:24:21 GMT 2024","10301","tests","login_test","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Sat Sep 07 01:23:23 GMT 2024","Sat Sep 07 01:23:33 GMT 2024","10305","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with valid email test","Forgot password with a valid email address"
"skipped","Sat Sep 07 01:23:21 GMT 2024","Sat Sep 07 01:23:21 GMT 2024","0","tests","email_test","TestEmail","","","Verify email content",""
"broken","Sat Sep 07 01:24:26 GMT 2024","Sat Sep 07 01:24:37 GMT 2024","10306","tests","login_test","TestLogin","","","Login with invalid credentials test","invalid login"
"skipped","Sat Sep 07 01:23:21 GMT 2024","Sat Sep 07 01:23:21 GMT 2024","0","tests","dependency_test","TestDependencyExample","","","test_c",""
"skipped","Sat Sep 07 01:23:21 GMT 2024","Sat Sep 07 01:23:21 GMT 2024","0","tests","dependency_test","TestDependencyExample","","","test_d",""
"broken","Sat Sep 07 01:25:10 GMT 2024","Sat Sep 07 01:25:10 GMT 2024","0","tests","workspaces_test","TestWorkspaces","","","Add project to workspace test","Selecting and adding a project to workspace"
"skipped","Sat Sep 07 01:24:37 GMT 2024","Sat Sep 07 01:24:37 GMT 2024","0","tests","visual_test","TestVisual","","","Visual test of login page with ignored area",""
"skipped","Sat Sep 07 01:24:37 GMT 2024","Sat Sep 07 01:24:37 GMT 2024","0","tests","login_test","TestLogin","","","Skipped test example","Skip Test example"
"broken","Sat Sep 07 01:23:38 GMT 2024","Sat Sep 07 01:23:49 GMT 2024","10337","Custom parent suite","Custom suite","Custom sub suite","","","Exception test","Exception catching"
