"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Sep 13 01:11:29 GMT 2023","Wed Sep 13 01:11:29 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Search for existing project test","Search for an existing project"
"broken","Wed Sep 13 01:12:54 GMT 2023","Wed Sep 13 01:13:04 GMT 2023","10320","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with invalid email test","Forgot Password with invalid email address"
"broken","Wed Sep 13 01:10:05 GMT 2023","Wed Sep 13 01:10:15 GMT 2023","10286","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"skipped","Wed Sep 13 01:13:23 GMT 2023","Wed Sep 13 01:13:23 GMT 2023","0","tests","test_login","TestLogin","","","Skipped test example","Skip Test example"
"broken","Wed Sep 13 01:10:36 GMT 2023","Wed Sep 13 01:10:36 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Delete existing workspace","Delete an existing workspace"
"broken","Wed Sep 13 01:12:02 GMT 2023","Wed Sep 13 01:12:02 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Cancel a project deletion","Cancel project deletion"
"broken","Wed Sep 13 01:08:56 GMT 2023","Wed Sep 13 01:09:06 GMT 2023","10272","tests","test_login","TestLogin","","","Login with valid credentials test","valid login"
"broken","Wed Sep 13 01:09:09 GMT 2023","Wed Sep 13 01:09:09 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Create new workspace test","Create new Workspace"
"broken","Wed Sep 13 01:10:22 GMT 2023","Wed Sep 13 01:10:32 GMT 2023","10312","tests","test_login","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Wed Sep 13 01:12:37 GMT 2023","Wed Sep 13 01:12:48 GMT 2023","10315","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with valid email test","Forgot password with a valid email address"
"broken","Wed Sep 13 01:12:18 GMT 2023","Wed Sep 13 01:12:18 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Delete existing project","Deleting an existing project from workspace"
"broken","Wed Sep 13 01:09:42 GMT 2023","Wed Sep 13 01:09:42 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Rename an existing workspace test","Rename an existing workspace"
"broken","Wed Sep 13 01:10:52 GMT 2023","Wed Sep 13 01:10:52 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Number of projects displayed in page test","Compare between the actual number of projects seen on page and the number shown in workspaces block"
"broken","Wed Sep 13 01:11:46 GMT 2023","Wed Sep 13 01:11:46 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Search for non existing project","Search for a non existing project"
"broken","Wed Sep 13 01:13:10 GMT 2023","Wed Sep 13 01:13:20 GMT 2023","10300","Custom parent suite","Custom suite","Custom sub suite","","","Exception test","Exception catching"
"broken","Wed Sep 13 01:09:28 GMT 2023","Wed Sep 13 01:09:39 GMT 2023","10307","tests","test_login","TestLogin","","","Logout of system test","Log out from app"
"broken","Wed Sep 13 01:11:08 GMT 2023","Wed Sep 13 01:11:08 GMT 2023","0","tests","test_workspaces","TestWorkspaces","","","Add project to workspace test","Selecting and adding a project to workspace"
