"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Skip Test example","0","Skipped test example","tests","Mon Nov 18 01:45:52 GMT 2024","skipped","Mon Nov 18 01:45:52 GMT 2024","TestLogin","login_test","",""
"","0","test_b","tests","Mon Nov 18 01:44:18 GMT 2024","skipped","Mon Nov 18 01:44:18 GMT 2024","TestDependencyExample","dependency_test","",""
"Search for a non existing project","0","Search for non existing project","tests","Mon Nov 18 01:46:36 GMT 2024","broken","Mon Nov 18 01:46:36 GMT 2024","TestWorkspaces","workspaces_test","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Mon Nov 18 01:46:05 GMT 2024","broken","Mon Nov 18 01:46:05 GMT 2024","TestWorkspaces","workspaces_test","",""
"Search for an existing project","0","Search for existing project test","tests","Mon Nov 18 01:46:20 GMT 2024","broken","Mon Nov 18 01:46:20 GMT 2024","TestWorkspaces","workspaces_test","",""
"invalid login","10039","Login with invalid credentials test","tests","Mon Nov 18 01:44:59 GMT 2024","broken","Mon Nov 18 01:45:10 GMT 2024","TestLogin","login_test","",""
"Log out from app","10429","Logout of system test","tests","Mon Nov 18 01:45:39 GMT 2024","broken","Mon Nov 18 01:45:49 GMT 2024","TestLogin","login_test","",""
"","0","Visual test of login page element","tests","Mon Nov 18 01:45:52 GMT 2024","skipped","Mon Nov 18 01:45:52 GMT 2024","TestVisual","visual_test","",""
"","0","test_c","tests","Mon Nov 18 01:44:18 GMT 2024","skipped","Mon Nov 18 01:44:18 GMT 2024","TestDependencyExample","dependency_test","",""
"invalid login","10417","Login with invalid credentials test","tests","Mon Nov 18 01:45:22 GMT 2024","broken","Mon Nov 18 01:45:33 GMT 2024","TestLogin","login_test","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Mon Nov 18 01:44:43 GMT 2024","broken","Mon Nov 18 01:44:43 GMT 2024","TestWorkspaces","workspaces_test","",""
"","0","Visual test of login page with ignored area","tests","Mon Nov 18 01:45:52 GMT 2024","skipped","Mon Nov 18 01:45:52 GMT 2024","TestVisual","visual_test","",""
"","0","Verify email content","tests","Mon Nov 18 01:44:18 GMT 2024","skipped","Mon Nov 18 01:44:18 GMT 2024","TestEmail","email_test","",""
"Create new Workspace","0","Create new workspace test","tests","Mon Nov 18 01:44:16 GMT 2024","broken","Mon Nov 18 01:44:16 GMT 2024","TestWorkspaces","workspaces_test","",""
"","0","test_a","tests","Mon Nov 18 01:47:21 GMT 2024","skipped","Mon Nov 18 01:47:21 GMT 2024","TestDependencyExample","dependency_test","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Mon Nov 18 01:45:35 GMT 2024","broken","Mon Nov 18 01:45:35 GMT 2024","TestWorkspaces","workspaces_test","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Mon Nov 18 01:45:51 GMT 2024","broken","Mon Nov 18 01:45:51 GMT 2024","TestWorkspaces","workspaces_test","",""
"","0","Verify population amounts","tests","Mon Nov 18 01:47:21 GMT 2024","skipped","Mon Nov 18 01:47:21 GMT 2024","TestDatabaseExample","db_test","",""
"
        Placeholder test function with the dependency name ""e"" and depends on ""TestDependencyExample::b"".

        This test case is designed for demonstration purposes only.
        ","0","test_e","tests","Mon Nov 18 01:47:21 GMT 2024","skipped","Mon Nov 18 01:47:21 GMT 2024","TestDependencyExample","dependency_class_test","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Mon Nov 18 01:46:51 GMT 2024","broken","Mon Nov 18 01:46:51 GMT 2024","TestWorkspaces","workspaces_test","",""
"Forgot Password with invalid email address","0","Forgot Password with invalid email test","Custom parent suite","Mon Nov 18 01:44:42 GMT 2024","skipped","Mon Nov 18 01:44:42 GMT 2024","Custom sub suite","Custom suite","",""
"","0","test_d","tests","Mon Nov 18 01:44:18 GMT 2024","skipped","Mon Nov 18 01:44:18 GMT 2024","TestDependencyExample","dependency_test","",""
"","0","Visual test of login page","tests","Mon Nov 18 01:45:52 GMT 2024","skipped","Mon Nov 18 01:45:52 GMT 2024","TestVisual","visual_test","",""
"Exception catching","10442","Exception test","Custom parent suite","Mon Nov 18 01:44:44 GMT 2024","broken","Mon Nov 18 01:44:55 GMT 2024","Custom sub suite","Custom suite","",""
"","0","Verify email count in user inbox","tests","Mon Nov 18 01:44:18 GMT 2024","skipped","Mon Nov 18 01:44:18 GMT 2024","TestEmail","email_test","",""
"valid login","10415","Login with valid credentials test","tests","Mon Nov 18 01:45:22 GMT 2024","broken","Mon Nov 18 01:45:33 GMT 2024","TestLogin","login_test","",""
"Forgot password with a valid email address","10014","Forgot Password with valid email test","Custom parent suite","Mon Nov 18 01:44:29 GMT 2024","broken","Mon Nov 18 01:44:39 GMT 2024","Custom sub suite","Custom suite","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Mon Nov 18 01:47:06 GMT 2024","broken","Mon Nov 18 01:47:06 GMT 2024","TestWorkspaces","workspaces_test","",""
