"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"invalid login","0","Login with invalid credentials test","tests","Thu Jul 31 02:06:13 GMT 2025","broken","Thu Jul 31 02:06:13 GMT 2025","TestLogin","login_test","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Thu Jul 31 02:07:12 GMT 2025","broken","Thu Jul 31 02:07:12 GMT 2025","TestWorkspaces","workspaces_test","",""
"invalid login","0","Login with invalid credentials test","tests","Thu Jul 31 02:06:06 GMT 2025","broken","Thu Jul 31 02:06:06 GMT 2025","TestLogin","login_test","",""
"Forgot Password with invalid email address","0","Forgot Password with invalid email test","Custom parent suite","Thu Jul 31 02:06:08 GMT 2025","skipped","Thu Jul 31 02:06:08 GMT 2025","Custom sub suite","Custom suite","",""
"Forgot password with a valid email address","0","Forgot Password with valid email test","Custom parent suite","Thu Jul 31 02:05:52 GMT 2025","broken","Thu Jul 31 02:05:52 GMT 2025","Custom sub suite","Custom suite","",""
"","0","Visual test of login page","tests","Thu Jul 31 02:06:42 GMT 2025","skipped","Thu Jul 31 02:06:42 GMT 2025","TestVisual","visual_test","",""
"","0","test_a","tests","Thu Jul 31 02:07:18 GMT 2025","skipped","Thu Jul 31 02:07:18 GMT 2025","TestDependencyExample","dependency_test","",""
"","0","Visual test of login page element","tests","Thu Jul 31 02:06:42 GMT 2025","skipped","Thu Jul 31 02:06:42 GMT 2025","TestVisual","visual_test","",""
"Log out from app","0","Logout of system test","tests","Thu Jul 31 02:06:37 GMT 2025","broken","Thu Jul 31 02:06:37 GMT 2025","TestLogin","login_test","",""
"Search for a non existing project","0","Search for non existing project","tests","Thu Jul 31 02:07:01 GMT 2025","broken","Thu Jul 31 02:07:01 GMT 2025","TestWorkspaces","workspaces_test","",""
"","0","Verify email content","tests","Thu Jul 31 02:05:52 GMT 2025","skipped","Thu Jul 31 02:05:52 GMT 2025","TestEmail","email_test","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Thu Jul 31 02:07:07 GMT 2025","broken","Thu Jul 31 02:07:07 GMT 2025","TestWorkspaces","workspaces_test","",""
"Exception catching","10368","Exception test","Custom parent suite","Thu Jul 31 02:06:11 GMT 2025","broken","Thu Jul 31 02:06:22 GMT 2025","Custom sub suite","Custom suite","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Thu Jul 31 02:06:18 GMT 2025","broken","Thu Jul 31 02:06:18 GMT 2025","TestWorkspaces","workspaces_test","",""
"","0","Get OTP code from email","tests","Thu Jul 31 02:05:52 GMT 2025","skipped","Thu Jul 31 02:05:52 GMT 2025","TestEmail","email_test","",""
"","0","test_d","tests","Thu Jul 31 02:05:52 GMT 2025","skipped","Thu Jul 31 02:05:52 GMT 2025","TestDependencyExample","dependency_test","",""
"","0","Verify population amounts","tests","Thu Jul 31 02:07:18 GMT 2025","skipped","Thu Jul 31 02:07:18 GMT 2025","TestDatabaseExample","db_test","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Thu Jul 31 02:06:01 GMT 2025","broken","Thu Jul 31 02:06:01 GMT 2025","TestWorkspaces","workspaces_test","",""
"valid login","0","Login with valid credentials test","tests","Thu Jul 31 02:06:30 GMT 2025","broken","Thu Jul 31 02:06:30 GMT 2025","TestLogin","login_test","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Thu Jul 31 02:06:33 GMT 2025","broken","Thu Jul 31 02:06:33 GMT 2025","TestWorkspaces","workspaces_test","",""
"Placeholder test function with the dependency name ""e"" and depends on ""TestDependencyExample::b"".

This test case is designed for demonstration purposes only.
","0","test_e","tests","Thu Jul 31 02:07:18 GMT 2025","skipped","Thu Jul 31 02:07:18 GMT 2025","TestDependencyExample","dependency_class_test","",""
"","0","Visual test of login page with ignored area","tests","Thu Jul 31 02:06:42 GMT 2025","skipped","Thu Jul 31 02:06:42 GMT 2025","TestVisual","visual_test","",""
"","0","Verify email count in user inbox","tests","Thu Jul 31 02:05:52 GMT 2025","skipped","Thu Jul 31 02:05:52 GMT 2025","TestEmail","email_test","",""
"Create new Workspace","0","Create new workspace test","tests","Thu Jul 31 02:05:50 GMT 2025","broken","Thu Jul 31 02:05:50 GMT 2025","TestWorkspaces","workspaces_test","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Thu Jul 31 02:06:49 GMT 2025","broken","Thu Jul 31 02:06:49 GMT 2025","TestWorkspaces","workspaces_test","",""
"Skip Test example","0","Skipped test example","tests","Thu Jul 31 02:06:42 GMT 2025","skipped","Thu Jul 31 02:06:42 GMT 2025","TestLogin","login_test","",""
"Search for an existing project","0","Search for existing project test","tests","Thu Jul 31 02:06:54 GMT 2025","broken","Thu Jul 31 02:06:54 GMT 2025","TestWorkspaces","workspaces_test","",""
"","0","test_b","tests","Thu Jul 31 02:07:18 GMT 2025","skipped","Thu Jul 31 02:07:18 GMT 2025","TestDependencyExample","dependency_test","",""
"","0","test_c","tests","Thu Jul 31 02:05:52 GMT 2025","skipped","Thu Jul 31 02:05:52 GMT 2025","TestDependencyExample","dependency_test","",""
