"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 01 01:16:04 GMT 2024","Wed May 01 01:16:04 GMT 2024","0","tests","workspaces_test","TestWorkspaces","","","Create new workspace test","Create new Workspace"
"broken","Wed May 01 01:19:32 GMT 2024","Wed May 01 01:19:42 GMT 2024","10323","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with valid email test","Forgot password with a valid email address"
"broken","Wed May 01 01:19:14 GMT 2024","Wed May 01 01:19:14 GMT 2024","0","tests","workspaces_test","TestWorkspaces","","","Delete existing project","Deleting an existing project from workspace"
"skipped","Wed May 01 01:19:30 GMT 2024","Wed May 01 01:19:30 GMT 2024","0","tests","email_test","TestEmail","","","Verify email count in user inbox",""
"skipped","Wed May 01 01:20:55 GMT 2024","Wed May 01 01:20:55 GMT 2024","0","tests","login_test","TestLogin","","","Skipped test example","Skip Test example"
"skipped","Wed May 01 01:20:55 GMT 2024","Wed May 01 01:20:55 GMT 2024","0","tests","visual_test","TestVisual","","","Visual test of login page with ignored area",""
"broken","Wed May 01 01:18:57 GMT 2024","Wed May 01 01:18:57 GMT 2024","0","tests","workspaces_test","TestWorkspaces","","","Cancel a project deletion","Cancel project deletion"
"broken","Wed May 01 01:18:24 GMT 2024","Wed May 01 01:18:24 GMT 2024","0","tests","workspaces_test","TestWorkspaces","","","Search for existing project test","Search for an existing project"
"broken","Wed May 01 01:20:40 GMT 2024","Wed May 01 01:20:51 GMT 2024","10342","tests","login_test","TestLogin","","","Logout of system test","Log out from app"
"broken","Wed May 01 01:19:49 GMT 2024","Wed May 01 01:20:00 GMT 2024","10302","Custom parent suite","Custom suite","Custom sub suite","","","Exception test","Exception catching"
"broken","Wed May 01 01:18:08 GMT 2024","Wed May 01 01:18:08 GMT 2024","0","tests","workspaces_test","TestWorkspaces","","","Add project to workspace test","Selecting and adding a project to workspace"
"broken","Wed May 01 01:17:51 GMT 2024","Wed May 01 01:17:51 GMT 2024","0","tests","workspaces_test","TestWorkspaces","","","Number of projects displayed in page test","Compare between the actual number of projects seen on page and the number shown in workspaces block"
"skipped","Wed May 01 01:19:30 GMT 2024","Wed May 01 01:19:30 GMT 2024","0","tests","dependency_test","TestDependencyExample","","","test_b",""
"skipped","Wed May 01 01:19:30 GMT 2024","Wed May 01 01:19:30 GMT 2024","0","tests","dependency_test","TestDependencyExample","","","test_d",""
"broken","Wed May 01 01:18:41 GMT 2024","Wed May 01 01:18:41 GMT 2024","0","tests","workspaces_test","TestWorkspaces","","","Search for non existing project","Search for a non existing project"
"broken","Wed May 01 01:17:03 GMT 2024","Wed May 01 01:17:14 GMT 2024","10300","tests","login_test","TestLogin","","","Login with invalid credentials test","invalid login"
"broken","Wed May 01 01:17:20 GMT 2024","Wed May 01 01:17:30 GMT 2024","10338","tests","login_test","TestLogin","","","Login with invalid credentials test","invalid login"
"skipped","Wed May 01 01:20:55 GMT 2024","Wed May 01 01:20:55 GMT 2024","0","tests","visual_test","TestVisual","","","Visual test of login page",""
"skipped","Wed May 01 01:19:30 GMT 2024","Wed May 01 01:19:30 GMT 2024","0","tests","dependency_class_test","TestDependencyExample","","","test_e","
        Placeholder test function with the dependency name ""e"" and depends on ""TestDependencyExample::b"".

        This test case is designed for demonstration purposes only.
        "
"skipped","Wed May 01 01:19:30 GMT 2024","Wed May 01 01:19:30 GMT 2024","0","tests","dependency_test","TestDependencyExample","","","test_c",""
"skipped","Wed May 01 01:19:30 GMT 2024","Wed May 01 01:19:30 GMT 2024","0","tests","dependency_test","TestDependencyExample","","","test_a",""
"skipped","Wed May 01 01:19:30 GMT 2024","Wed May 01 01:19:30 GMT 2024","0","tests","db_test","TestDatabaseExample","","","Verify population amounts",""
"skipped","Wed May 01 01:19:47 GMT 2024","Wed May 01 01:19:47 GMT 2024","0","Custom parent suite","Custom suite","Custom sub suite","","","Forgot Password with invalid email test","Forgot Password with invalid email address"
"broken","Wed May 01 01:17:35 GMT 2024","Wed May 01 01:17:35 GMT 2024","0","tests","workspaces_test","TestWorkspaces","","","Delete existing workspace","Delete an existing workspace"
"broken","Wed May 01 01:16:45 GMT 2024","Wed May 01 01:16:45 GMT 2024","0","tests","workspaces_test","TestWorkspaces","","","Rename an existing workspace test","Rename an existing workspace"
"skipped","Wed May 01 01:20:55 GMT 2024","Wed May 01 01:20:55 GMT 2024","0","tests","visual_test","TestVisual","","","Visual test of login page element",""
"broken","Wed May 01 01:20:23 GMT 2024","Wed May 01 01:20:33 GMT 2024","10356","tests","login_test","TestLogin","","","Login with valid credentials test","valid login"
"skipped","Wed May 01 01:19:30 GMT 2024","Wed May 01 01:19:30 GMT 2024","0","tests","email_test","TestEmail","","","Verify email content",""
