"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"valid login","0","Login with valid credentials test","tests","Wed Aug 06 02:07:38 GMT 2025","broken","Wed Aug 06 02:07:38 GMT 2025","TestLogin","login_test","",""
"Deleting an existing project from workspace","0","Delete existing project","tests","Wed Aug 06 02:08:40 GMT 2025","broken","Wed Aug 06 02:08:40 GMT 2025","TestWorkspaces","workspaces_test","",""
"invalid login","0","Login with invalid credentials test","tests","Wed Aug 06 02:07:29 GMT 2025","broken","Wed Aug 06 02:07:29 GMT 2025","TestLogin","login_test","",""
"","0","Verify email count in user inbox","tests","Wed Aug 06 02:07:07 GMT 2025","skipped","Wed Aug 06 02:07:07 GMT 2025","TestEmail","email_test","",""
"Create new Workspace","0","Create new workspace test","tests","Wed Aug 06 02:07:09 GMT 2025","broken","Wed Aug 06 02:07:09 GMT 2025","TestWorkspaces","workspaces_test","",""
"","0","Visual test of login page","tests","Wed Aug 06 02:07:50 GMT 2025","skipped","Wed Aug 06 02:07:50 GMT 2025","TestVisual","visual_test","",""
"","0","test_a","tests","Wed Aug 06 02:08:45 GMT 2025","skipped","Wed Aug 06 02:08:45 GMT 2025","TestDependencyExample","dependency_test","",""
"Delete an existing workspace","0","Delete existing workspace","tests","Wed Aug 06 02:07:42 GMT 2025","broken","Wed Aug 06 02:07:42 GMT 2025","TestWorkspaces","workspaces_test","",""
"Search for an existing project","0","Search for existing project test","tests","Wed Aug 06 02:08:21 GMT 2025","broken","Wed Aug 06 02:08:21 GMT 2025","TestWorkspaces","workspaces_test","",""
"Skip Test example","0","Skipped test example","tests","Wed Aug 06 02:07:50 GMT 2025","skipped","Wed Aug 06 02:07:50 GMT 2025","TestLogin","login_test","",""
"Forgot Password with invalid email address","0","Forgot Password with invalid email test","Custom parent suite","Wed Aug 06 02:07:17 GMT 2025","skipped","Wed Aug 06 02:07:17 GMT 2025","Custom sub suite","Custom suite","",""
"Exception catching","10430","Exception test","Custom parent suite","Wed Aug 06 02:07:20 GMT 2025","broken","Wed Aug 06 02:07:30 GMT 2025","Custom sub suite","Custom suite","",""
"","0","Get OTP code from email","tests","Wed Aug 06 02:07:07 GMT 2025","skipped","Wed Aug 06 02:07:07 GMT 2025","TestEmail","email_test","",""
"Cancel project deletion","0","Cancel a project deletion","tests","Wed Aug 06 02:08:34 GMT 2025","broken","Wed Aug 06 02:08:34 GMT 2025","TestWorkspaces","workspaces_test","",""
"Rename an existing workspace","0","Rename an existing workspace test","tests","Wed Aug 06 02:07:23 GMT 2025","broken","Wed Aug 06 02:07:23 GMT 2025","TestWorkspaces","workspaces_test","",""
"Placeholder test function with the dependency name ""e"" and depends on ""TestDependencyExample::b"".

This test case is designed for demonstration purposes only.
","0","test_e","tests","Wed Aug 06 02:08:45 GMT 2025","skipped","Wed Aug 06 02:08:45 GMT 2025","TestDependencyExample","dependency_class_test","",""
"Log out from app","0","Logout of system test","tests","Wed Aug 06 02:07:45 GMT 2025","broken","Wed Aug 06 02:07:45 GMT 2025","TestLogin","login_test","",""
"","0","Visual test of login page with ignored area","tests","Wed Aug 06 02:07:50 GMT 2025","skipped","Wed Aug 06 02:07:50 GMT 2025","TestVisual","visual_test","",""
"invalid login","0","Login with invalid credentials test","tests","Wed Aug 06 02:07:36 GMT 2025","broken","Wed Aug 06 02:07:36 GMT 2025","TestLogin","login_test","",""
"Forgot password with a valid email address","0","Forgot Password with valid email test","Custom parent suite","Wed Aug 06 02:07:07 GMT 2025","broken","Wed Aug 06 02:07:07 GMT 2025","Custom sub suite","Custom suite","",""
"","0","test_b","tests","Wed Aug 06 02:08:45 GMT 2025","skipped","Wed Aug 06 02:08:45 GMT 2025","TestDependencyExample","dependency_test","",""
"","0","Visual test of login page element","tests","Wed Aug 06 02:07:50 GMT 2025","skipped","Wed Aug 06 02:07:50 GMT 2025","TestVisual","visual_test","",""
"","0","Verify population amounts","tests","Wed Aug 06 02:08:45 GMT 2025","skipped","Wed Aug 06 02:08:45 GMT 2025","TestDatabaseExample","db_test","",""
"Compare between the actual number of projects seen on page and the number shown in workspaces block","0","Number of projects displayed in page test","tests","Wed Aug 06 02:07:58 GMT 2025","broken","Wed Aug 06 02:07:58 GMT 2025","TestWorkspaces","workspaces_test","",""
"Search for a non existing project","0","Search for non existing project","tests","Wed Aug 06 02:08:27 GMT 2025","broken","Wed Aug 06 02:08:27 GMT 2025","TestWorkspaces","workspaces_test","",""
"Selecting and adding a project to workspace","0","Add project to workspace test","tests","Wed Aug 06 02:08:14 GMT 2025","broken","Wed Aug 06 02:08:14 GMT 2025","TestWorkspaces","workspaces_test","",""
"","0","test_d","tests","Wed Aug 06 02:07:07 GMT 2025","skipped","Wed Aug 06 02:07:07 GMT 2025","TestDependencyExample","dependency_test","",""
"","0","test_c","tests","Wed Aug 06 02:07:07 GMT 2025","skipped","Wed Aug 06 02:07:07 GMT 2025","TestDependencyExample","dependency_test","",""
"","0","Verify email content","tests","Wed Aug 06 02:07:07 GMT 2025","skipped","Wed Aug 06 02:07:07 GMT 2025","TestEmail","email_test","",""
